symbol,side,entry_time_ms,exit_time_ms,entry_price,exit_price,quantity,pnl,pnl_pct,reason,leverage,leverage_tier,partials_json
BTCUSDT,long,1633507200000,1633521600000,51418.0,55566.805,0.001486188810385612,6.0784577764321215,8.068779415768798,TRAILING_STOP,5.0,major,"[{""fill_price"":52446.36,""level"":0.02,""pnl"":1.472895916073188,""qty"":0.0015165191942710327,""size"":0.3,""time_ms"":1633521600000},{""fill_price"":52960.54,""level"":0.03,""pnl"":1.5765616196902932,""qty"":0.0010615634359897228,""size"":0.3,""time_ms"":1633521600000},{""fill_price"":53988.9,""level"":0.05,""pnl"":2.4897885381305223,""qty"":0.0009907925402570749,""size"":0.4,""time_ms"":1633521600000}]"
BTCUSDT,long,1633564800000,1633593600000,55337.5,53954.0625,0.004812360301367845,-6.946872411580782,-2.5,stop_loss,5.0,major,[]
ETHUSDT,long,1633651200000,1633680000000,3587.05,3619.8750000000005,0.05122348109055293,1.4783706842452207,0.915097364129306,TRAILING_STOP,5.0,major,"[{""fill_price"":3658.791,""level"":0.02,""pnl"":1.4874374130945418,""qty"":0.021952920467379827,""size"":0.3,""time_ms"":1633680000000}]"
ETHUSDT,long,1633694400000,1633723200000,3614.7,3524.3324999999995,0.07306742228899235,-6.889817170027325,-2.500000000000008,stop_loss,5.0,major,[]
BTCUSDT,long,1633708800000,1633795200000,54359.5,54716.75,0.0034010939751766382,1.0110026054414307,0.6571988336905232,TRAILING_STOP,5.0,major,"[{""fill_price"":55446.69,""level"":0.02,""pnl"":1.496670734865832,""qty"":0.0014576117036471305,""size"":0.3,""time_ms"":1633780800000}]"
ETHUSDT,long,1633737600000,1633795200000,3562.9,3582.8882500000004,0.051147129072027134,0.8213239980046949,0.5610106935361737,TRAILING_STOP,5.0,major,"[{""fill_price"":3634.1580000000004,""level"":0.02,""pnl"":1.4752209657680773,""qty"":0.021920198173725914,""size"":0.3,""time_ms"":1633780800000}]"
BTCUSDT,long,1633852800000,1633939200000,55677.5,56243.5,0.003306177461835473,1.6677795651605294,1.0165686318530824,TRAILING_STOP,5.0,major,"[{""fill_price"":56791.05,""level"":0.02,""pnl"":1.4901777303344899,""qty"":0.0014169331979294883,""size"":0.3,""time_ms"":1633910400000}]"
ETHUSDT,long,1633982400000,1634025600000,3514.55,3426.68625,0.07531716996697219,-6.905185841417738,-2.4999999999999996,stop_loss,5.0,major,[]
BTCUSDT,long,1634011200000,1634025600000,56694.0,56965.9975,0.003268320665241392,0.6846625248916935,0.4797641725755771,TRAILING_STOP,5.0,major,"[{""fill_price"":57827.88,""level"":0.02,""pnl"":1.5000092618740453,""qty"":0.001400708856532025,""size"":0.3,""time_ms"":1634011200000}]"
BTCUSDT,long,1634313600000,1634328000000,60039.5,60971.5,0.002139177393470958,1.8513381331562102,1.5523113949982927,TRAILING_STOP,5.0,major,"[{""fill_price"":61240.29,""level"":0.02,""pnl"":1.4853130901185074,""qty"":0.001309700444982219,""size"":0.3,""time_ms"":1634313600000},{""fill_price"":61840.685000000005,""level"":0.03,""pnl"":1.5898527421730426,""qty"":0.0009167903114875534,""size"":0.3,""time_ms"":1634313600000}]"
ETHUSDT,long,1634270400000,1634342400000,3824.8,3855.29,0.04797081495028669,1.2599990509288796,0.7971658648818181,TRAILING_STOP,5.0,major,"[{""fill_price"":3901.2960000000003,""level"":0.02,""pnl"":1.485313090118508,""qty"":0.020558920692980008,""size"":0.3,""time_ms"":1634328000000}]"
BTCUSDT,long,1634385600000,1634500800000,61724.0,60180.9,0.00431481093736949,-6.947482885166267,-2.499999999999998,stop_loss,5.0,major,[]
BTCUSDT,long,1634544000000,1634558400000,61900.0,60352.5,0.004240880095936972,-6.8479139551231585,-2.5,stop_loss,5.0,major,[]
BTCUSDT,long,1634587200000,1634616000000,61466.0,62104.25,0.002946731327494656,1.6804806900217237,1.038378941203267,TRAILING_STOP,5.0,major,"[{""fill_price"":62695.32,""level"":0.02,""pnl"":1.4662488116986419,""qty"":0.0012628848546405668,""size"":0.3,""time_ms"":1634601600000}]"
BTCUSDT,long,1634630400000,1634702400000,62365.5,63512.79999999999,0.002046544358592546,2.206311804009383,1.8396389029190632,TRAILING_STOP,5.0,major,"[{""fill_price"":63612.81,""level"":0.02,""pnl"":1.4760453882346078,""qty"":0.0012529863419954363,""size"":0.3,""time_ms"":1634659200000},{""fill_price"":64236.465000000004,""level"":0.03,""pnl"":1.5799327587353553,""qty"":0.0008770904393968054,""size"":0.3,""time_ms"":1634659200000}]"
ETHUSDT,long,1634688000000,1634760000000,3881.6,4082.4802499999996,0.019856210175446747,3.9017454158823117,5.1751919311623995,TRAILING_STOP,5.0,major,"[{""fill_price"":3959.232,""level"":0.02,""pnl"":1.4855594325122248,""qty"":0.020261438954537494,""size"":0.3,""time_ms"":1634731200000},{""fill_price"":3998.0480000000002,""level"":0.03,""pnl"":1.5901164226945232,""qty"":0.014183007268176246,""size"":0.3,""time_ms"":1634731200000},{""fill_price"":4075.6800000000003,""level"":0.05,""pnl"":2.5111949917286864,""qty"":0.013237473450297833,""size"":0.4,""time_ms"":1634731200000}]"
ETHUSDT,long,1635004800000,1635048000000,4089.8,4125.8695,0.04596968015001594,1.450383943647699,0.8819379920778426,TRAILING_STOP,5.0,major,"[{""fill_price"":4171.5960000000005,""level"":0.02,""pnl"":1.5219687450466175,""qty"":0.01970129149286397,""size"":0.3,""time_ms"":1635019200000}]"
BTCUSDT,long,1635220800000,1635278400000,62818.0,61247.549999999996,0.004301539933306624,-7.048873492981364,-2.500000000000007,stop_loss,5.0,major,[]
ETHUSDT,long,1635220800000,1635278400000,4227.85,4122.15375,0.06391289556877738,-7.0488734929813415,-2.4999999999999987,stop_loss,5.0,major,[]
ETHUSDT,long,1635321600000,1635321600000,4136.3,4032.8925,0.06345499693569193,-6.846829442407596,-2.500000000000006,stop_loss,5.0,major,[]
BTCUSDT,long,1635494400000,1635552000000,60605.0,62043.6725,0.0020916850438439005,2.868151434585958,2.37385116739543,TRAILING_STOP,5.0,major,"[{""fill_price"":61817.1,""level"":0.02,""pnl"":1.4660166000366792,""qty"":0.0012806234962309594,""size"":0.3,""time_ms"":1635508800000},{""fill_price"":62423.15,""level"":0.03,""pnl"":1.5691981220293112,""qty"":0.0008964364473616716,""size"":0.3,""time_ms"":1635508800000}]"
ETHUSDT,long,1635566400000,1635595200000,4345.4,4236.764999999999,0.0602822685628998,-6.833308051790249,-2.5000000000000053,stop_loss,5.0,major,[]
ETHUSDT,long,1635811200000,1635840000000,4321.8,4422.847,0.02927396650069291,2.8172517161593924,2.338076727289545,TRAILING_STOP,5.0,major,"[{""fill_price"":4408.236,""level"":0.02,""pnl"":1.4631214522507772,""qty"":0.01792283663307729,""size"":0.3,""time_ms"":1635840000000},{""fill_price"":4451.454000000001,""level"":0.03,""pnl"":1.5660992072772484,""qty"":0.012545985643154104,""size"":0.3,""time_ms"":1635840000000}]"
